Text Inputs : Specimen label,"22L.3"
General : Start Date,13/11/2018 5:14 PM

Time,Extension,Load,Segment ID,Total Cycle Count
(sec),(mm),(N),,
89.46000,-7.14232,-15.27202,22412,0
89.47999,-7.13898,-15.26060,22412,0
89.50000,-7.13560,-15.24269,22412,0
89.52000,-7.13222,-15.23588,22412,0
89.54000,-7.12888,-15.21165,22412,0
89.56000,-7.12555,-15.18770,22412,0
89.57999,-7.12222,-15.18604,22412,0
89.60000,-7.11890,-15.18225,22412,0
89.61999,-7.11557,-15.16089,22412,0
89.64000,-7.11227,-15.16579,22412,0
89.65999,-7.10897,-15.15351,22412,0
89.68000,-7.10566,-15.12939,22412,0
89.70000,-7.10230,-15.07027,22412,0
89.72000,-7.09895,-15.07213,22412,0
89.74000,-7.09564,-15.09244,22412,0
89.75999,-7.09232,-15.08077,22412,0
89.78000,-7.08901,-15.09994,22412,0
89.79999,-7.08565,-15.07602,22412,0
89.82000,-7.08231,-15.04484,22412,0
89.84000,-7.07899,-15.02240,22412,0
89.86000,-7.07568,-15.00613,22412,0
89.88000,-7.07237,-15.00049,22412,0
89.90000,-7.06901,-15.01294,22412,0
89.92000,-7.06567,-14.96876,22412,0
89.93999,-7.06234,-14.99447,22412,0
89.96000,-7.05903,-14.98699,22412,0
89.97999,-7.05571,-14.96567,22412,0
90.00000,-7.05235,-14.93066,22412,0
90.02000,-7.04899,-14.92321,22412,0
90.04000,-7.04563,-14.89370,22412,0
90.06000,-7.04227,-14.92335,22412,0
90.07999,-7.03891,-14.86969,22412,0
90.10000,-7.03556,-14.89188,22412,0
90.11999,-7.03226,-14.92500,22412,0
90.14000,-7.02896,-14.84248,22412,0
90.15999,-7.02566,-14.78214,22412,0
90.18000,-7.02230,-14.82195,22412,0
90.20000,-7.01891,-14.86523,22412,0
90.22000,-7.01553,-14.87822,22412,0
90.24000,-7.01219,-14.82892,22412,0
90.25999,-7.00887,-14.76515,22412,0
90.28000,-7.00554,-14.72181,22412,0
90.29999,-7.00221,-14.72949,22412,0
90.32000,-6.99888,-14.72369,22412,0
90.34000,-6.99556,-14.67644,22412,0
90.36000,-6.99223,-14.65503,22412,0
90.38000,-6.98890,-14.69358,22412,0
90.40000,-6.98557,-14.67937,22412,0
90.42000,-6.98226,-14.69614,22412,0
90.43999,-6.97897,-14.71731,22412,0
90.46000,-6.97566,-14.63269,22412,0
90.47999,-6.97231,-14.58147,22412,0
90.50000,-6.96895,-14.57736,22412,0
90.52000,-6.96561,-14.54136,22412,0
90.54000,-6.96228,-14.53090,22412,0
90.56000,-6.95895,-14.54688,22412,0
90.57999,-6.95560,-14.53131,22412,0
